Date,Open,High,Low,Close,Volume
2024-03-15,142.5,143.17999267578125,140.02999877929688,141.17999267578125,49460600
2024-03-18,148.61000061035156,152.14999389648438,147.1699981689453,147.67999267578125,69273700
2024-03-19,148.16000366210938,148.7899932861328,146.0800018310547,147.02999877929688,24070400
2024-03-20,148.0,148.86000061035156,146.74000549316406,148.74000549316406,21311500
2024-03-21,149.47000122070312,150.3699951171875,146.89999389648438,147.60000610351562,24755600
2024-03-22,149.1199951171875,151.5800018310547,148.97999572753906,150.77000427246094,29175700
2024-03-25,149.94000244140625,150.3800048828125,147.82000732421875,150.07000732421875,19229300
2024-03-26,150.22000122070312,152.25999450683594,149.97999572753906,150.6699981689453,22149100
2024-03-27,151.17999267578125,151.63999938964844,148.89999389648438,150.8699951171875,22879200
2024-03-28,150.85000610351562,151.42999267578125,150.1699981689453,150.92999267578125,24485400
2024-04-01,150.69000244140625,155.74000549316406,150.61000061035156,155.49000549316406,31730800
2024-04-02,153.5,154.6999969482422,152.14999389648438,154.55999755859375,24586000
2024-04-03,153.60000610351562,155.0800018310547,152.72999572753906,154.9199981689453,24705000
2024-04-04,153.5,154.77000427246094,150.4499969482422,150.52999877929688,34724700
2024-04-05,150.02999877929688,153.4199981689453,149.60000610351562,152.5,23449300
2024-04-08,152.77999877929688,155.27000427246094,152.61000061035156,154.85000610351562,20702000
2024-04-09,156.08999633789062,158.55999755859375,155.19000244140625,156.60000610351562,31113000
2024-04-10,156.2100067138672,156.61000061035156,154.67999267578125,156.13999938964844,22838600
2024-04-11,156.91000366210938,159.67999267578125,156.4600067138672,159.41000366210938,27148600
