Date,Open,High,Low,Close,Volume
2024-03-15,419.2900085449219,422.6000061035156,412.7900085449219,416.4200134277344,45049800
2024-03-18,414.25,420.7300109863281,413.7799987792969,417.32000732421875,20106000
2024-03-19,417.8299865722656,421.6700134277344,415.54998779296875,421.4100036621094,19837900
2024-03-20,422.0,425.9599914550781,420.6600036621094,425.2300109863281,17860100
2024-03-21,429.8299865722656,430.82000732421875,427.1600036621094,429.3699951171875,21296200
2024-03-22,429.70001220703125,429.8599853515625,426.07000732421875,428.739990234375,17636500
2024-03-25,425.239990234375,427.4100036621094,421.6099853515625,422.8599853515625,18060500
2024-03-26,425.6099853515625,425.989990234375,421.3500061035156,421.6499938964844,16725600
2024-03-27,424.44000244140625,424.45001220703125,419.010009765625,421.42999267578125,16705000
2024-03-28,420.9599914550781,421.8699951171875,419.1199951171875,420.7200012207031,21871200
2024-04-01,423.95001220703125,427.8900146484375,422.2200012207031,424.57000732421875,16316000
2024-04-02,420.1099853515625,422.3800048828125,417.8399963378906,421.44000244140625,17912000
2024-04-03,419.7300109863281,423.260009765625,419.0899963378906,420.45001220703125,16502300
2024-04-04,424.989990234375,428.6700134277344,417.57000732421875,417.8800048828125,19370900
2024-04-05,420.010009765625,426.510009765625,418.32000732421875,425.5199890136719,16544300
2024-04-08,425.1700134277344,427.2799987792969,423.29998779296875,424.5899963378906,14272400
2024-04-09,426.44000244140625,427.739990234375,421.6199951171875,426.2799987792969,12512300
2024-04-10,422.19000244140625,424.0299987792969,419.70001220703125,423.260009765625,16216600
2024-04-11,425.82000732421875,429.3699951171875,422.3599853515625,427.92999267578125,17948600
