Date,Open,High,Low,Close,Volume
2024-03-15,225.05999755859375,244.64999389648438,222.8300018310547,242.36000061035156,17219000
2024-03-18,238.61000061035156,244.0500030517578,230.2100067138672,239.6199951171875,9734500
2024-03-19,223.24000549316406,233.2899932861328,216.16000366210938,230.1199951171875,12928500
2024-03-20,231.3800048828125,256.9599914550781,228.8000030517578,256.8800048828125,13834300
2024-03-21,260.239990234375,276.3800048828125,256.2699890136719,262.0,16199900
2024-03-22,254.24000549316406,260.7200012207031,249.5500030517578,255.50999450683594,9806500
2024-03-25,261.0,283.4800109863281,260.25,279.7099914550781,13941700
2024-03-26,280.1199951171875,280.8299865722656,266.69000244140625,266.80999755859375,10316200
2024-03-27,276.2200012207031,276.6099853515625,253.9499969482422,256.70001220703125,11092600
2024-03-28,260.2099914550781,270.7900085449219,257.9100036621094,265.1199951171875,11201600
2024-04-01,261.8699951171875,268.80999755859375,249.22000122070312,252.11000061035156,10010700
2024-04-02,238.10000610351562,248.1300048828125,235.99000549316406,245.83999633789062,8817600
2024-04-03,244.0399932861328,256.0,243.0,251.5800018310547,6670200
2024-04-04,260.1499938964844,261.5,249.4600067138672,249.61000061035156,8098300
2024-04-05,244.91000366210938,253.9600067138672,240.1999969482422,240.89999389648438,8423700
2024-04-08,252.86000061035156,261.6300048828125,249.67999267578125,256.989990234375,10042200
2024-04-09,253.22999572753906,254.5500030517578,241.10000610351562,242.9499969482422,7824700
2024-04-10,238.24000549316406,251.27000427246094,234.1199951171875,250.99000549316406,8416000
2024-04-11,250.99000549316406,264.29998779296875,247.30999755859375,263.010009765625,8546600
